CARRIER|ORIGIN|REGION,Sum,Count,Mean
AA|SDQ|L,34861.000000,41,850.268293
AA|IAH|L,5323.000000,5,1064.600000
AA|ABI|D,878.000000,2,439.000000
AA|SJO|L,101895.000000,69,1476.739130
AA|ANU|L,100465.000000,66,1522.196970
AA|GUA|L,60373.000000,51,1183.784314
AA|ORD|L,204086.000000,117,1744.324786
AA|BUR|D,36326.000000,51,712.274510
AA|ACT|D,534.000000,6,89.000000
F9|SAL|L,21300.000000,15,1420.000000
F9|BTV|D,4944.000000,4,1236.000000
F9|MSP|L,15138.000000,9,1682.000000
F9|BGI|L,3983.000000,7,569.000000
F9|SAV|D,32045.000000,42,762.976190
AA|MTY|L,13130.000000,26,505.000000
AA|BZE|L,58932.000000,60,982.200000
AA|RAP|D,14403.000000,12,1200.250000
NK|LIT|D,1085.000000,1,1085.000000
NK|BGA|L,4143.000000,3,1381.000000
NK|DEN|D,8984.000000,8,1123.000000
NK|OKC|D,525.000000,3,175.000000
NK|SRQ|D,40.000000,1,40.000000
NK|TLH|D,200.000000,1,200.000000
NK|STX|D,43830.000000,38,1153.421053
AA|FOE|D,56.000000,1,56.000000
AA|MGA|L,29484.000000,29,1016.689655
AA|SBP|D,24190.000000,24,1007.916667
F9|BUR|D,3742.000000,8,467.750000
F9|PBI|D,80093.000000,80,1001.162500
F9|SDQ|L,79565.000000,88,904.147727
F9|PSE|D,44802.000000,38,1179.000000
F9|BQN|D,52164.000000,46,1134.000000
F9|BDL|D,134010.000000,129,1038.837209
F9|SYR|D,91544.000000,85,1076.988235
5X|ALB|A,2499.000000,3,833.000000
F9|BMI|D,15012.000000,18,834.000000
F9|POS|L,7476.000000,12,623.000000
F9|MYR|D,33104.000000,62,533.935484
F9|MSO|D,16228.000000,22,737.636364
G4|GRI|D,27367.000000,29,943.689655
F9|PHL|L,132892.000000,89,1493.168539
F9|LIT|D,21588.000000,28,771.000000
F9|RSW|D,285638.000000,263,1086.076046
F9|TYS|D,54330.000000,65,835.846154
F9|CHS|D,18645.000000,33,565.000000
F9|SMF|D,76330.000000,119,641.428571
F9|EWR|D,28480.000000,22,1294.545455
F9|MCI|D,34846.000000,52,670.115385
F9|PIT|D,56877.000000,78,729.192308
F9|GRR|D,119842.000000,119,1007.075630
F9|LAX|D,122236.000000,179,682.882682
F9|BUF|D,173558.000000,191,908.680628
F9|PUJ|L,253676.000000,198,1281.191919
YX|HPN|D,2020.000000,4,505.000000
F9|OMA|D,55388.000000,73,758.739726
5X|PHX|D,124960.000000,115,1086.608696
F9|OKC|D,61711.000000,84,734.654762
F9|PWM|D,81995.000000,86,953.430233
F9|ISP|D,188831.000000,196,963.423469
F9|SLC|D,184998.000000,283,653.703180
F9|TPA|L,43072.000000,46,936.347826
F9|ATL|L,157047.000000,129,1217.418605
F9|SJC|D,40867.000000,72,567.597222
F9|SAT|D,116648.000000,121,964.033058
F9|CMH|D,50050.000000,53,944.339623
F9|CID|D,29705.000000,40,742.625000
F9|ONT|D,212846.000000,316,673.563291
F9|CLT|D,249787.000000,350,713.677143
F9|SNA|D,44752.000000,85,526.494118
F9|MSY|D,118225.000000,137,862.956204
F9|ORD|D,310325.000000,342,907.383041
F9|SXM|L,10452.000000,18,580.666667
F9|STT|D,1428.000000,21,68.000000
F9|PNS|D,71701.000000,74,968.932432
F9|CUN|L,447179.000000,372,1202.094086
F9|MCO|D,1426331.000000,1449,984.355418
F9|RDU|D,345242.000000,523,660.118547
F9|SJU|D,559566.000000,419,1335.479714
M6|LAX|L,35857.000000,13,2758.230769
F9|MIA|L,59735.000000,71,841.338028
F9|PDX|D,202991.000000,229,886.423581
5X|SAV|D,7483.000000,17,440.176471
F9|MSN|D,48566.000000,54,899.370370
F9|CVG|D,435824.000000,503,866.449304
F9|TPA|D,562361.000000,584,962.946918
F9|SJD|L,9555.000000,10,955.500000
F9|MKE|D,102170.000000,103,991.941748
F9|PHX|D,721012.000000,739,975.658999
AA|BOI|D,39542.000000,37,1068.702703
AA|NAS|L,98624.000000,142,694.535211
AA|LAX|L,108749.000000,79,1376.569620
AA|GEG|D,97398.000000,78,1248.692308
AA|GRR|D,69173.000000,91,760.142857
AA|GRK|D,597.000000,5,119.400000
AA|DFW|L,864873.000000,618,1399.470874
AA|GDL|L,26887.000000,29,927.137931
AA|RDM|D,20995.000000,14,1499.642857
AA|JFK|L,455742.000000,203,2245.034483
AA|MEX|L,194463.000000,142,1369.457746
AA|BFL|D,32548.000000,40,813.700000
AA|BOS|L,46694.000000,29,1610.137931
AA|MFE|D,23296.000000,49,475.428571
AA|VRA|L,3287.000000,16,205.437500
AA|STS|D,13978.000000,10,1397.800000
AA|LIT|D,32360.000000,75,431.466667
AA|SJD|L,184602.000000,174,1060.931034
AA|ONT|D,114585.000000,148,774.222973
AA|BDA|L,61463.000000,70,878.042857
AA|PSP|D,64365.000000,83,775.481928
AA|GGG|D,560.000000,4,140.000000
AA|CHS|D,98687.000000,194,508.695876
AA|RTB|L,35290.000000,36,980.277778
AA|BGI|L,108131.000000,62,1744.048387
AA|YUL|D,61399.000000,46,1334.760870
AA|MTJ|D,18050.000000,25,722.000000
AA|LIR|L,132502.000000,85,1558.847059
AA|AUS|L,57970.000000,55,1054.000000
AA|PUJ|L,247436.000000,175,1413.920000
AA|ABQ|D,83971.000000,142,591.345070
AA|PWM|D,52166.000000,78,668.794872
FX|IDA|D,4512.000000,24,188.000000
