CARRIER,ORIGIN,Sum,Count,Mean
04Q,JRV,901.000000,5,180.200000
04Q,JZI,1803.000000,3,601.000000
04Q,JZQ,397.000000,2,198.500000
04Q,JZU,710.000000,2,355.000000
04Q,LAL,1535.000000,5,307.000000
04Q,LAN,1138.000000,1,1138.000000
04Q,LBE,2764.000000,9,307.111111
04Q,LCI,6356.000000,24,264.833333
04Q,LDJ,126.000000,1,126.000000
04Q,LEB,10852.000000,47,230.893617
04Q,LEE,2300.000000,6,383.333333
04Q,LEW,1330.000000,6,221.666667
04Q,LEX,1891.000000,3,630.333333
04Q,LGA,10191.000000,52,195.980769
04Q,LKP,1996.000000,8,249.500000
04Q,LLY,816.000000,4,204.000000
04Q,LNA,1105.000000,5,221.000000
04Q,LNK,797.000000,1,797.000000
04Q,LNS,2063.000000,11,187.545455
04Q,LRM,2264.000000,12,188.666667
04Q,LUK,2978.000000,3,992.666667
04Q,LWB,573.000000,2,286.500000
04Q,LWM,855.000000,5,171.000000
04Q,LYH,904.000000,3,301.333333
04Q,MA1,775.000000,3,258.333333
04Q,MA2,946.000000,7,135.142857
04Q,MA3,155.000000,1,155.000000
04Q,MA4,1439.000000,9,159.888889
04Q,MA5,357.000000,3,119.000000
04Q,MCN,230.000000,1,230.000000
04Q,MCO,4138.000000,17,243.411765
04Q,MD1,690.000000,3,230.000000
04Q,MD2,247.000000,1,247.000000
04Q,MD3,104.000000,1,104.000000
04Q,MD6,214.000000,1,214.000000
04Q,MDT,1650.000000,9,183.333333
04Q,MDW,697.000000,1,697.000000
04Q,ME1,177.000000,1,177.000000
04Q,ME2,929.000000,3,309.666667
04Q,ME3,920.000000,4,230.000000
04Q,ME4,292.000000,1,292.000000
04Q,ME5,869.000000,3,289.666667
04Q,MEM,1019.000000,1,1019.000000
04Q,MFV,260.000000,1,260.000000
04Q,MGR,132.000000,1,132.000000
04Q,MGW,804.000000,3,268.000000
04Q,MHH,9923.000000,45,220.511111
04Q,MHT,1080.000000,6,180.000000
04Q,MIA,5865.000000,31,189.193548
04Q,MIV,323.000000,2,161.500000
04Q,MJX,123.000000,1,123.000000
04Q,MLB,1906.000000,9,211.777778
04Q,MMN,284.000000,2,142.000000
04Q,MMU,14894.000000,60,248.233333
04Q,MNZ,506.000000,2,253.000000
04Q,MPV,920.000000,5,184.000000
04Q,MRK,281.000000,3,93.666667
04Q,MSP,1021.000000,1,1021.000000
04Q,MSV,387.000000,3,129.000000
04Q,MT3,817.000000,1,817.000000
04Q,MTH,1038.000000,6,173.000000
04Q,MTN,2785.000000,12,232.083333
04Q,MTP,4820.000000,33,146.060606
04Q,MVC,984.000000,1,984.000000
04Q,MVL,2439.000000,11,221.727273
04Q,MVY,26648.000000,141,188.992908
04Q,MYR,454.000000,1,454.000000
04Q,N1Y,1147.000000,4,286.750000
04Q,N2Y,404.000000,2,202.000000
04Q,N8C,623.000000,1,623.000000
04Q,NAD,1112.000000,7,158.857143
04Q,NAS,21755.000000,86,252.965116
04Q,NEV,1920.000000,8,240.000000
04Q,NH6,183.000000,1,183.000000
04Q,NHZ,1449.000000,6,241.500000
04Q,NJ1,2575.000000,12,214.583333
04Q,NJ2,597.000000,4,149.250000
04Q,NJ4,70.000000,1,70.000000
04Q,NJ7,232.000000,1,232.000000
04Q,NMC,1482.000000,6,247.000000
04Q,NPT,5087.000000,34,149.617647
